ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
ALA41165,13,85517.0,87755.5,-0.025508372694588943,308.0,313.0,-0.01597444089456869,277.6525974025974,280.36384933394584,-0.009670476196519286
ALA48965,10,31209.0,41194.0,-0.24238966839831044,137.0,150.5,-0.08970099667774087,227.8029197080292,273.0983870967742,-0.16585768912906199
ALA48975,11,34412.0,26274.5,0.30971093645930464,139.0,125.5,0.10756972111553785,247.568345323741,209.303131351626,0.18282198515143105
ALA595300,8,98887.0,98637.0,0.002534545860072792,742.0,771.5,-0.03823720025923526,133.27088948787062,127.8263421944884,0.04259331214452111
AMBWS00S5BX,41,4360.0,3420.0,0.27485380116959063,3.0,2.0,0.5,1453.3333333333333,2085.0,-0.3029576338928857
AMD10102,41,17405.0,16614.333333333332,0.04758943081275212,147.0,130.66666666666666,0.12500000000000008,118.40136054421768,125.85387898014545,-0.059215643540899296
AMV10445981,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV10716280,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11069061,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097592,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097593,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097601,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097606,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097607,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097608,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097612,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097624,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097627,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097640,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097644,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11097649,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11099430,20,,,0.0,,,0.0,0.0,0.0,0.0
AMV11099438,20,,,0.0,,,0.0,0.0,0.0,0.0
APO2701,37,6289.0,6291.0,-0.00031791448100460976,46.0,47.5,-0.031578947368421054,136.7173913043478,132.4095744680851,0.03253402824960382
ARD02936,48,104.0,172.0,-0.3953488372093023,9.0,13.5,-0.3333333333333333,11.555555555555555,11.777777777777779,-0.01886792452830197
ARM040104005A,9,187.0,180.0,0.03888888888888889,4.0,3.5,0.14285714285714285,46.75,53.125,-0.12
ARM498106,53,90.0,44.0,1.0454545454545454,6.0,5.0,0.2,15.0,8.8,0.7045454545454544
ARN0001,37,20.0,32.5,-0.38461538461538464,2.0,4.5,-0.5555555555555556,10.0,6.875,0.45454545454545453
ARN0001,50,90.0,32.5,1.7692307692307692,9.0,4.5,1.0,10.0,6.875,0.45454545454545453
ARNESP1H,32,,80.0,,,3.0,,0.0,13.333333333333334,-1.0
ARW45703XP1A,29,788.0,883.0,-0.10758776896942242,115.0,106.5,0.07981220657276995,6.852173913043479,8.273761061946903,-0.17181873373666293
ARWAI07126,3,266.0,253.5,0.04930966469428008,30.0,25.5,0.17647058823529413,8.866666666666667,9.903076923076924,-0.10465537776396874
ARWAI07134,39,11.0,4.5,1.4444444444444444,1.0,2.0,-0.5,11.0,2.25,3.888888888888889
